group,video_id,video_label,tracker_run,precision_pct,recall_pct,f1_pct,mota_pct,motp_iou_pct,id_switches,false_positives,false_negatives
straight_line_6bots,straight_line_6bots,Straight line 6 robots,Centroid conf=0.25,97.83,100.0,98.9,96.5,78.94,11,19,0
straight_line_6bots,straight_line_6bots,Straight line 6 robots,Centroid conf=0.35,99.19,99.88,99.54,98.14,78.94,8,7,1
straight_line_6bots,straight_line_6bots,Straight line 6 robots,SORT conf=0.25,97.83,100.0,98.9,96.5,78.94,11,19,0
straight_line_6bots,straight_line_6bots,Straight line 6 robots,DeepSORT-lite conf=0.25,97.83,100.0,98.9,96.15,78.94,14,19,0
straight_line_6bots,straight_line_6bots,Straight line 6 robots,DeepSORT-lite conf=0.35,99.19,99.88,99.54,97.67,78.94,12,7,1
natural_light_occlusion,random_sim_6bot_naturallight_occlusion3,Natural light occlusion 3,Centroid conf=0.25,84.97,89.46,87.16,71.79,75.45,33,284,189
natural_light_occlusion,random_sim_6bot_naturallight_occlusion3,Natural light occlusion 3,Centroid conf=0.35,87.27,89.07,88.17,74.41,75.29,30,233,196
natural_light_occlusion,random_sim_6bot_naturallight_occlusion3,Natural light occlusion 3,SORT conf=0.25,84.97,89.46,87.16,72.13,75.45,27,284,189
natural_light_occlusion,random_sim_6bot_naturallight_occlusion3,Natural light occlusion 3,DeepSORT-lite conf=0.25,84.97,89.46,87.16,72.07,75.45,28,284,189
natural_light_occlusion,random_sim_6bot_naturallight_occlusion3,Natural light occlusion 3,DeepSORT-lite conf=0.35,87.27,89.07,88.17,74.69,75.29,25,233,196
natural_light_occlusion,random_sim_6bot_naturallight_occlusion4,Natural light occlusion 4,Centroid conf=0.25,88.57,91.2,89.86,78.44,72.08,18,214,160
natural_light_occlusion,random_sim_6bot_naturallight_occlusion4,Natural light occlusion 4,Centroid conf=0.35,92.66,88.89,90.74,81.02,72.1,15,128,202
natural_light_occlusion,random_sim_6bot_naturallight_occlusion4,Natural light occlusion 4,SORT conf=0.25,88.57,91.2,89.86,78.49,72.08,17,214,160
natural_light_occlusion,random_sim_6bot_naturallight_occlusion4,Natural light occlusion 4,DeepSORT-lite conf=0.25,88.57,91.2,89.86,78.49,72.08,17,214,160
natural_light_occlusion,random_sim_6bot_naturallight_occlusion4,Natural light occlusion 4,DeepSORT-lite conf=0.35,92.66,88.89,90.74,81.02,72.1,15,128,202
random_sim_5bot_dark,random_sim_5bot_dark,Dark random 5 robots,Centroid conf=0.25,55.29,52.15,53.67,9.38,65.71,50,3523,3998
random_sim_5bot_dark,random_sim_5bot_dark,Dark random 5 robots,Centroid conf=0.35,55.69,49.73,52.54,9.72,65.94,37,3306,4200
random_sim_5bot_dark,random_sim_5bot_dark,Dark random 5 robots,SORT conf=0.25,55.29,52.15,53.67,9.41,65.71,48,3523,3998
random_sim_5bot_dark,random_sim_5bot_dark,Dark random 5 robots,DeepSORT-lite conf=0.25,55.29,52.15,53.67,9.43,65.71,46,3523,3998
random_sim_5bot_dark,random_sim_5bot_dark,Dark random 5 robots,DeepSORT-lite conf=0.35,55.69,49.73,52.54,9.79,65.94,31,3306,4200
