video_id,video_label,tracker_run,precision_pct,recall_pct,f1_pct,mota_pct,motp_iou_pct,id_switches,false_positives,false_negatives
random_sim_6bot_naturallight_occlusion3,Natural light occlusion 3,Centroid conf=0.25,84.97,89.46,87.16,71.79,75.45,33,284,189
random_sim_6bot_naturallight_occlusion3,Natural light occlusion 3,Centroid conf=0.35,87.27,89.07,88.17,74.41,75.29,30,233,196
random_sim_6bot_naturallight_occlusion3,Natural light occlusion 3,SORT conf=0.25,84.97,89.46,87.16,72.13,75.45,27,284,189
random_sim_6bot_naturallight_occlusion3,Natural light occlusion 3,DeepSORT-lite conf=0.25,84.97,89.46,87.16,72.07,75.45,28,284,189
random_sim_6bot_naturallight_occlusion3,Natural light occlusion 3,DeepSORT-lite conf=0.35,87.27,89.07,88.17,74.69,75.29,25,233,196
random_sim_6bot_naturallight_occlusion4,Natural light occlusion 4,Centroid conf=0.25,88.57,91.2,89.86,78.44,72.08,18,214,160
random_sim_6bot_naturallight_occlusion4,Natural light occlusion 4,Centroid conf=0.35,92.66,88.89,90.74,81.02,72.1,15,128,202
random_sim_6bot_naturallight_occlusion4,Natural light occlusion 4,SORT conf=0.25,88.57,91.2,89.86,78.49,72.08,17,214,160
random_sim_6bot_naturallight_occlusion4,Natural light occlusion 4,DeepSORT-lite conf=0.25,88.57,91.2,89.86,78.49,72.08,17,214,160
random_sim_6bot_naturallight_occlusion4,Natural light occlusion 4,DeepSORT-lite conf=0.35,92.66,88.89,90.74,81.02,72.1,15,128,202
